Date,Shift,Factory,Machine No,Issues,Root Cause,Correction ,Corrective Action,,,
10/01/23,NB,ONGA 3,IMA 41,BAD WRAPS,FAUTY LINE ONE PORTION,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
10/01/23,NB,ONGA 3,IMA 47,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
01/11/2023,DA,ONGA 2,ILA 25,POOR VERTICAL SEALING,FAULTY JAW,ENGINEERING OBSERVATION STILL ON GOING.,ENGINEERING OBSERVATION STILL ON GOING.,,,
01/11/2023,DA,ONGA 2,IMA 29,BAD WRAPS,CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/11/2023,DA,ONGA 2,IMA 34,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/11/2023,DA,ONGA 2,ILA 25,FAULTY SILO VIBRATOR ,BURNT PANEL,ONGOING,ONGOING,,,
01/11/2023,DA,ONGA 1,IMA 05,BAD WRAPS,REEL PULL BACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/11/2023,DA,ONGA 1,IMA 02,BAD WRAPS,TEFLON FAULT(PRESS),THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/11/2023,DA,ONGA 1,IMA 03,BAD WRAPS,TEFLON FAULT(PRESS),THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/11/2023,DA,ONGA 1,IMA 17,BAD WRAPS,REEL PULL BACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/11/2023,DA,ONGA 1,IMA 18,BAD WRAPS,CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/11/2023,NA,ONGA 3,ILA 53,EYESHIFT,DIRTY BELT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
01/11/2023,NA,ONGA 3,ILA 52,EYESHIFT,DIRTY BELT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
01/11/2023,NA,ONGA 1,IMA 16,CUBE CRASH,TEFLON FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/11/2023,NA,ONGA 2,IMA 35,BAD WRAP,BLOCKAGE OF THE ELEVATOR SHAFT,,,,,
01/11/2023,NA,ONGA I,IMA 15,NAKED CUBE,REEL PUUL BACK,THE OPEREATOR WORKED ON TH MACHINE,THE OPEREATOR WORKED ON TH MACHINE,,,
01/12/2023,DA,ONGA 2,IMA 29,BAD WRAPS,CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/12/2023,DA,ONGA 2,IMA 34,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/12/2023,DA,ONGA 2,ILAPAK 25,POOR CODE ON POUCHES,BAD PRINTER RIBBON,"THE MACHINE WAS STOPPED, THE RIBBON WAS CHANGED AND AFFECTED PRODUCTS WERE RETRIEVED","THE MACHINE WAS STOPPED, THE RIBBON WAS CHANGED AND AFFECTED PRODUCTS WERE RETRIEVED",,,
01/12/2023,DA,ONGA 1,IMA 02,BAD WRAPS,REEL PULL BACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/12/2023,DA,ONGA 1,IMA 03,BAD WRAPS,CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/12/2023,DA,ONGA 1,IMA 08,BAD WRAPS/EYESHIFT,REEL MISALIGNMENT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/12/2023,DA,ONGA 1,IMA 05,BAD WRAPS,GRIPPER FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/12/2023,DA,ONGA 1,IMA 18,BAD WRAPS,EXIT CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE, ,,
01/12/2023,DA,ONGA 1,IMA 09,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/12/2023,NA,ONGA 2,IMA 29,CUBE CRASH,FAULTY LONG AND SHORT MACHINE BELT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/12/2023,NA,ONGA 3,IMA 50,BAD WRAP,CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/12/2023,NA,ONGA 1,IMA 05,BAD WRAP,REEL MISALIGNMENT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,DA,ONGA 2,IMA 29,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,DA,ONGA 2,ILA 25,FAULTY SILO VIBRATOR ,BURNT PANEL,ONGOING,ONGOING,,,
13/1/2023,DA,ONGA 2,IMA 31,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,DA,ONGA 1,.....,3M-MATIC MACHINE,FAULTY PRINTHEAD,ONGOING,ONGOING,,,
13/1/2023,DA,ONGA 1,IMA 02,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,DA,ONGA 1,IMA 03,BAD WRAPS,TELFLON FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,DA,ONGA 1,IMA 17,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,DA,ONGA 1,IMA 18,BAD WRAPS,REEL PULL BACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,DA,ONGA 1,IMA 11,BAD WRAPS,FOLDING BLOCK FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,NA,ONGA 2,IMA 29,BAD WRAPS,FOLDING BLOCK FAULT/ NATURE OF THE REEL,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,NA,ONGA 2,IMA 32,BAD WRAPS,FOLDING BLOCK FAULT AND LOWER FOLDER ,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,NA,ONGA 2,IMA 35,BAD WRAPS,LOOSE ELEVATOR,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,NA,ONGA 2,IMA 38,BAD WRAPS,FOLDING BLOCK FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,NA,ONGA 1,IMA 12,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
13/1/2023,NA,ONGA 1,IMA 05,FAULTY MACHINE,STAR WHEEL FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
14/1/2023,DB,ONGA 1,IMA 05,BAD WRAPS,ELEVATOR FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
14/1/2023,DB,ONGA 1,IMA 11,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
14/1/2023,DB,ONGA 1,IMA 02,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
14/1/2023,NB,ONGA 2,IMA 38,BAD WRAPS,ELEVATOR FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
14/1/2023,NB,ONGA 2,IMA 29,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
14/1/2023,NB,ONGA 2,IMA 35,NAKED CUBE,REEL,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
14/1/2023,NB,ONGA 2,IMA 32,NAKED CUBE,REEL,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
14/1/2023,NB,ONGA 1,IMA 12,BAD WRAPS,FOLDING BLOCK FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
15/1/2023,DB,ONGA 1,IMA 05,BAD WRAPS,CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
15/1/2023,DB,ONGA 1,IMA 11,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
15/1/2023,DB,ONGA 1,IMA 12,FAULTY MACHINE,CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
15/1/2023,NB,ONGA 1,IMA 12,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
15/1/2023,NB,ONGA 1,IMA 05,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
15/1/2023,NB,ONGA 1,3 M MATIC,POOR CARTON SEALING,BELT FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
15/1/2023,NB,ONGA 2,IMA 38,NAKED CUBE,REEL,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
15/1/2023,NB,ONGA 2,IMA 34,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
15/1/2023,NB,ONGA 2,IMA 34,BAD WRAPS,REEL PULL BACK,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
15/1/2023,NB,ONGA 3,IMA 45,BAD WRAPS,DIRTY FOLDING BLOCK,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
16/1/2023,DB,ONGA 1,IMA 05,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
16/1/2023,DB,ONGA 1,IMA 02,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
16/1/2023,DB,ONGA 1,IMA 12,FAULTY MACHINE,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
16/1/2023,NB,ONGA 2,IMA 34,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
16/1/2023,NB,ONGA 2,IMA 38,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
16/1/2023,NB,ONGA 2,IMA 37,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
16/1/2023,NB,ONGA 2,IMA 35,BAD WRAPS,REEL PULL BACK,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
16/1/2023,NB,ONGA 1,IMA 02,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
16/1/2023,NB,ONGA 1,IMA 05,BAD WRAPS,KNIFE FAULT/FAULTY PRESS,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
16/1/2023,NB,ONGA 1,IMA 06,BAD WRAPS,KNIFE FAULT/FAULTY PRESS,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
16/1/2023,NB,ONGA 1,IMA 08,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
16/1/2023,NB,ONGA 1,IMA 11,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
16/1/2023,NB,ONGA 1,IMA 12,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
17/1/2023,DA,ONGA 2,IMA 29,BAD WRAPS,CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
17/1/2023,DA,ONGA 2,IMA 34,POOR LATERAL SEAL,FAULTY WELDER,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
17/1/2023,DA,ONGA 2,ILAPAK 26,POOR CODE ON POUCHES,BAD PRINTER RIBBON,"THE MACHINE WAS STOPPED, THE RIBBON WAS CHANGED AND AFFECTED PRODUCTS WERE RETRIEVED","THE MACHINE WAS STOPPED, THE RIBBON WAS CHANGED AND AFFECTED PRODUCTS WERE RETRIEVED",,,
17/1/2023,DA,ONGA 3,IMA 43,BAD WRAP,CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
17/1/2023,DA,ONGA1,ILA 22,BAILING OF CUBES/ BADWRAPS,FAULTY  CONVEYOR,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
17/1/2023,DA,ONGA1,IMA 18,BAD WRAPS ,REEL PULLBACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
17/1/2023,DA,ONGA1,IMA 17,BAD WRAPS ,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
17/1/2023,NA,ONGA 1,ONGA1 LOADING HOPPER,DETACHED BAR MAGNETIC BAR,USAGE RELATED SHEARING,UNDER ENGINEERING REPAIR,UNDER ENGINEERING REPAIR,,,
17/1/2023,NA,ONGA 1,IMA 18,BAD WRAPS ,ELEVATOR FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
17/1/2023,NA,ONGA 1,IMA 3,BAD WRAPS ,REEL MISALIGNMENT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
17/1/2023,NA,ONGA 2,IMA 38,BAD WRAPS,UPPER PUSHER SHIFTED,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
17/1/2023,NA,ONGA 2,IMA 31,EXIT CUBES CRASH,DIRTY FOLDING BLOCK,UNDER ENGINEERING REPAIR,UNDER ENGINEERING REPAIR,,,
17/01/23,NA,ONGA 3,IMA 51,BAD WRAPS,HEATER,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
17/1/2023,NA,ONGA 1,IMA 5,FAULTY MACHINE ,STAR WHEEL FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
17/1/2023,NA,ONGA 2,ILA 26,FAULTY HMI,ELECTRICAL FAULT,UNDER ENGINEERING REPAIR,UNDER ENGINEERING REPAIR,,,
18/1/2023,DA,ONGA 2,ILA 26,FAULTY HMI,ELECTRICAL FAULT,UNDER ENGINEERING REPAIR,UNDER ENGINEERING REPAIR,,,
18/1/2023,DA,ONGA 2,IMA 35,BAD WRAPS,REEL PULLBACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
18/1/2023,DA,ONGA 1,IMA 18,BAD WRAPS,EYESHIFT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
18/1/2023,DA,ONGA 1,IMA 03,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
18/1/2023,DA,ONGA 1,IMA 09,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
18/1/2023,NA,ONGA 1,ILA 20,NO CODE ON POUCH,DIRTY PRINT HEAD,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
18/1/2023,NA,ONGA 2,IMA 29,BAD WRAPS,COUNTER ELEVATOR AND UPPER PUSHER,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
18/1/2023,NA,ONGA 2,IMA 35,BAD WRAPS,FAULTY ELEVATOR,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
18/1/2023,NA,ONGA 3,IMA 43,BAD WRAPS,FOLDING BLOCK FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
18/1/2023,NA,0NGA 3,IMA 47,CUBE CRASH,EXIT BLOCK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,DA,ONGA 1,IMA 03,BROKEN CUBES,STAR WHEEL ISSUE,ONGOING,ONGOING,,,
19/1/2023,DA,ONGA  4,IMA 65,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
19/1/2023,DA,ONGA 3,IMA 43,BAD WRAPS,FOLDING BLOCK FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,DA,ONGA  4,IMA 69,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
19/1/2023,DA,ONGA 2,ILA 26,FAULTY HMI,ELECTRICAL FAULT,UNDER ENGINEERING REPAIR,UNDER ENGINEERING REPAIR,,,
19/1/2023,DA,ONGA 2,IMA 29,BAD WRAPS,CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,DA,ONGA 2,IMA 35,BAD WRAPS,EYESHIFT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,DA,ONGA 2,IMA 34,POOR LATERAL SEAL,LOW WELDER TEMPERATURE,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,NA,ONGA 2,IMA 28,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,NA,ONGA 2,IMA 29,BAD WRAPS,ELEVATOR AND UPPER PUSHER FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,NA,ONGA 3,IMA 49,MECHANICAL FAULT,BROKEN PUSHER ARM,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,NA,ONGA 2,IMA 34,BAD WRAPS,FOLDING BLOCK BLOCKAGE,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
19/1/2023,NA,ONGA 2,IMA 35,BAD WRAPS,ELEVATOR AND KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,NA,ONGA 2,ILA 26,FAULTY HMI,ELECTRICAL FAULT,UNDER ENGINEERING REPAIR,UNDER ENGINEERING REPAIR,,,
19/1/2023,NA,ONGA 4,IMA 69,BAD WRAP,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,NA,ONGA 1,IMA 11,BAD WRAP,LOWER PUSHER FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,NA,ONGA 1,IMA2/3,FAULTY MACHINE,STAR WHEEL FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,NA,ONGA 1,IMA 6,BAD WRAP,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
19/1/2023,NA,ONGA 1,IMA 14,BAD WRAP,FOLDING BLOCK BLOCKAGE,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,DB,ONGA 2,"IMA 37, IMA 38",HIGH CUBE WEIGHT,FAULTY WEIGHT CONTROL FROM PRESS,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,DB,ONGA 1,"IMA 02, IMA 03",HIGH CUBE WEIGHT,FAULTY WEIGHT CONTROL FROM PRESS,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,DB,ONGA 3,IMA 45,BAD WRAPS,LINE 2 PORTION,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,DB,ONGA 1,"IMA 02, IMA 03",BAD WRAPS,ELEVATOR FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,NB,ONGA 2,IMA 35,BAD WRAPS,REEL PULLBACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,NB,ONGA 2,IMA 38,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,NB,ONGA 2,IMA 32,BAD WRAPS,REEL PULLBACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,NB,ONGA 2,IMA 34,NAKED CUBE,REEL,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,NB,ONGA 2,IMA 28,BAD WRAPS,ELEVATOR FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,NB,ONGA 1,IMA 02,BAD WRAPS,REEL PULL BACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,NB,ONGA 1,IMA 08,BAD WRAPS,KNIFE FAULT/CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,NB,ONGA 1,IMA 17,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,NB,ONGA 1,IMA 18,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
20/01/2023,NB,ONGA 1,ILA 20,POOR HORIZONTAL SEALING,FAULTY HORIZONTAL SEALING JAW,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
21/01/2023,DB,ONGA 1,IMA 17,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
21/01/2024,DB,ONGA 2,IMA 02,BAD WRAPS, ELEVATOR FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
21/01/2024,NB,ONGA 1,IMA 14,BAD WRAPS,REEL PULL BACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
21/01/2024,NB,ONGA 1,IMA 17,BAD WRAPS,KNIFE FAULT/CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
21/01/2024,NB,ONGA 2,IMA 37,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
21/01/2024,NB,ONGA 2,IMA 38,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
22/01/2023,DB,ONGA 1,IMA 02,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
22/01/2023,DB,ONGA 1,IMA 14,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
22/01/2023,DB,ONGA 3,IMA 45,BAD WRAPS,LINE 2 PORTION,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
22/01/2023,NB,ONGA 3,IMA 45,BAD WRAPS,LINE 2 PORTION,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
23/01/2023,NB,ONGA 2,IMA 32,BAD WRAPS,REEL PULLBACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
23/01/2023,NB,ONGA 1,IMA 06,BAD WRAPS,KNIFE FAULT/CUBE CRASH,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
23/01/2023,NB,ONGA 1,IMA 08,BAD WRAPS,KNIFE FAULT/ELEVATOR COMPONENT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
23/01/2023,NB,ONGA 1,IMA 14,BAD WRAPS,KNIFE COMPONENT/ FOLDING BLOCK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
23/01/2023,NB,ONGA 1,3M MATIC,CODING ERROR,FAULTY PRINTERHEAD,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
23/01/2023,DA,ONGA 1,IMA 14,BAD WRAPS,REEL PULLBACK,OPERATOR RECTIFIED IT,OPERATOR RECTIFIED IT,,,
23/01/2023,DA,ONGA 1,IMA 03,FAULTY CONVEYOR,CONVEYOR PULLED OUT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
